loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 1020, 100, 0.0007587610365131868Jy/beam, 0.0007587610365131868Jy/beam, 125.5552037782902Jy*chan, inf
1, hogbom, 2040, 200, 0.0007564365935407483Jy/beam, 0.0007564365935407483Jy/beam, 128.83466050524768Jy*chan, 0.026119640032988653
2, hogbom, 4080, 300, 0.0007530875189590981Jy/beam, 0.0007530875189590981Jy/beam, 132.98153110252488Jy*chan, 0.03218753851653368
3, hogbom, 8160, 400, 0.0007491403830715098Jy/beam, 0.0007491403830715098Jy/beam, 137.74097366095882Jy*chan, 0.03579025236793627
4, hogbom, 16320, 500, 0.0007449418147826431Jy/beam, 0.0007449418147826431Jy/beam, 142.90520852655754Jy*chan, 0.03749236504099488
5, hogbom, 32640, 600, 0.0007407242665323245Jy/beam, 0.0007407242665323245Jy/beam, 148.31933690011368Jy*chan, 0.03788615145227527
6, hogbom, 65280, 700, 0.0007366428253220209Jy/beam, 0.0007366428253220209Jy/beam, 158.5211870460869Jy*chan, 0.0687830080634982
7, hogbom, 102000, 800, 0.0007296779069258407Jy/beam, 0.0007296779069258407Jy/beam, 171.1312678820907Jy*chan, 0.07954823623884205
8, hogbom, 102000, 900, 0.0007222226099340698Jy/beam, 0.0007222226099340698Jy/beam, 177.86110367333188Jy*chan, 0.03932557664376119
9, hogbom, 102000, 1000, 0.0007186737164923589Jy/beam, 0.0007186737164923589Jy/beam, 185.3717954714011Jy*chan, 0.042227848826709796
10, hogbom, 102000, 1000, 0.0007150240200511469Jy/beam, 0.0007150240200511469Jy/beam, 190.26271012277218Jy*chan, 0.026384351723699198
11, hogbom, 102000, 1000, 0.0007128171273729318Jy/beam, 0.0007128171273729318Jy/beam, 194.38890102649844Jy*chan, 0.02168680820883783
12, hogbom, 102000, 1000, 0.0007110510863706259Jy/beam, 0.0007110510863706259Jy/beam, 197.1199200141888Jy*chan, 0.01404925370362621
13, hogbom, 102000, 1000, 0.0007099342992320678Jy/beam, 0.0007099342992320678Jy/beam, 197.69221323534146Jy*chan, 0.0029032744184933432
